game_id,store_id,game_name,release_year,game_genre,num_players,type_of_machine,game_price
158751,433833,Phantom Maze Rampage,2017,"Racing, Fighting, Maze, Beat 'em Up",4,Foosball Table,1.25
829163,756578,Mystic Wizard Force,1986,"Racing, Platformer, Pinball",4,Pinball Machine,1.75
175990,611072,Electric Assault Genesis,2006,"Maze, Shooter, Rhythm Game",2,Arcade Boxing Machine,1.5
227515,166723,Cyber Hero Rampage,1988,"Fighting, Pinball, Platformer",1,Basketball Shooting Game,1.0
754150,314576,Asteroid Fighter Trials,2020,Maze,4,Basketball Shooting Game,1.5
837126,169858,Robo Dragon Escape,1987,"Platformer, Pinball, Fighting, Beat 'em Up",1,Interactive Touchscreen,1.0
326419,851943,Pixel Colossus Showdown,2017,"Beat 'em Up, Fighting, Sport",1,Racing Simulator,1.0
668641,105194,Jungle Maze Mania,2017,"Shooter, Light Gun Shooter",2,Guitar Arcade Unit,0.25
825570,105656,Infinity Fury League,1996,Racing,2,Coin Pusher Machine,2.0
228588,989271,Asteroid Traveler Showdown,2010,Pinball,1,Claw Machine,1.25
362141,976233,Time Maverick Wars,1977,Beat 'em Up,4,Claw Machine,1.5
534342,310834,Space Traveler Genesis,2002,"Fighting, Puzzle, Pinball",4,Claw Machine,0.75
415925,615293,Jungle Warp Rampage,1982,"Shooter, Beat 'em Up, Light Gun Shooter, Rhythm Game",4,Dance Dance Revolution Machine,1.0
116825,337192,Digital Combat Racers,1985,"Rhythm Game, Puzzle, Pinball",1,Coin Pusher Machine,1.5
644776,6425,Pixel Dragon Elite,1991,"Beat 'em Up, Fighting",4,Bubble Hockey Table,0.25
79595,938709,Monster Hero League,2006,"Fighting, Puzzle, Platformer",4,Foosball Table,0.5
840939,152212,Sky Maze Pro,2015,"Sport, Light Gun Shooter, Racing",4,Guitar Arcade Unit,0.5
78938,297315,Jungle Fighter Escape,1999,"Maze, Puzzle, Light Gun Shooter",2,Virtual Pinball Machine,0.5
27558,677011,Mystic Surfer Saga,2020,Platformer,2,Dance Dance Revolution Machine,1.25
505402,228483,Asteroid Maze Chaos,1986,"Rhythm Game, Beat 'em Up",1,Arcade Cabinet,1.25
208367,587378,Phantom Fighter Surge,1975,"Rhythm Game, Puzzle, Maze, Pinball",4,Coin Pusher Machine,1.0
886349,202821,Laser Blaster Force,2018,"Fighting, Platformer, Racing, Sport",2,Interactive Touchscreen,1.75
849527,707712,Cosmic Combat Rampage,2021,"Light Gun Shooter, Maze, Sport",1,Foosball Table,1.75
473034,457194,Asteroid Racer Showdown,1985,"Rhythm Game, Maze, Fighting, Beat 'em Up",1,Virtual Pinball Machine,0.5
483903,933494,Virtual Surfer Xtreme,2000,"Shooter, Beat 'em Up",1,Racing Simulator,1.25
632128,330318,Neon Wizard Mayhem,1997,"Sport, Puzzle",1,Coin Pusher Machine,1.75
179841,636735,Mystic Warp Saga,2004,"Platformer, Beat 'em Up",2,Interactive Touchscreen,0.75
221043,115021,Monster Cavern Trials,1991,"Light Gun Shooter, Rhythm Game, Puzzle",1,Virtual Reality Arcade Pod,1.25
752278,900327,House of the Racer Force,1979,"Racing, Rhythm Game, Pinball, Platformer",1,Virtual Pinball Machine,2.0
447761,22384,Alien Rebellion Showdown,1982,"Racing, Puzzle",4,Virtual Reality Arcade Pod,1.0
553495,122131,Robo Blaster Pro,1981,"Fighting, Light Gun Shooter",1,Arcade Cabinet,2.0
868303,86051,Robo Pirate Showdown,1982,"Fighting, Light Gun Shooter, Maze",4,Guitar Arcade Unit,2.0
170385,119251,Robo Cavern 3000,1996,"Pinball, Shooter, Racing",4,Claw Machine,0.25
860102,904054,Retro Fury Saga,2008,"Fighting, Puzzle, Platformer",4,Guitar Arcade Unit,0.5
213406,151121,Galaxy Pirate Wars,2007,"Light Gun Shooter, Beat 'em Up, Puzzle",4,Interactive Touchscreen,0.75
797421,171902,Retro Hero Legends,2009,"Light Gun Shooter, Maze, Sport, Rhythm Game",4,Bubble Hockey Table,0.25
658168,6425,Cyber Rocket Rampage,2006,"Maze, Shooter, Platformer",4,Arcade Boxing Machine,1.5
147567,173514,Galaxy Rebellion Mayhem,1985,"Pinball, Racing",2,Guitar Arcade Unit,1.75
631378,8612,Skyward Invaders Escape,2000,"Beat 'em Up, Rhythm Game, Platformer",1,Foosball Table,1.75
509381,765421,Cyber Avenger Genesis,1999,"Maze, Shooter, Puzzle",4,Racing Simulator,1.75
399249,395259,Jungle Surfer Escape,1981,"Platformer, Rhythm Game, Fighting",4,Foosball Table,0.25
710824,921859,Robo Explorer Elite,2011,"Light Gun Shooter, Sport",1,Pinball Machine,0.75
653235,725324,Sky Warp Escape,1984,Maze,1,Guitar Arcade Unit,0.75
688168,938088,Sky Racer Legends,2000,"Sport, Rhythm Game, Beat 'em Up",1,Arcade Cabinet,1.5
598222,12602,Robo Maverick 3000,2005,"Sport, Pinball, Fighting, Beat 'em Up",1,Arcade Cabinet,1.0
579912,730956,Sky Rocket Trials,1989,"Puzzle, Racing",2,Virtual Reality Arcade Pod,1.75
547894,508231,Laser Avenger Racers,1985,"Rhythm Game, Sport, Light Gun Shooter",4,Virtual Pinball Machine,1.75
601231,540916,Digital Rebellion Trials,1980,"Rhythm Game, Light Gun Shooter",1,Basketball Shooting Game,1.25
965720,748054,Infinity Traveler Escape,2002,"Maze, Rhythm Game, Racing",4,Coin Pusher Machine,1.75
976006,757953,Infinity Invaders Showdown,2020,"Maze, Sport",4,Arcade Boxing Machine,0.75
699716,980252,Asteroid Explorer Mania,2018,"Fighting, Rhythm Game, Beat 'em Up",1,Bubble Hockey Table,1.25
570114,900219,Skyward Assault Elite,1998,"Racing, Sport, Maze, Platformer",1,Interactive Touchscreen,0.5
930504,132106,Robo Combat Mania,1985,"Light Gun Shooter, Sport",4,Virtual Pinball Machine,1.0
658682,271632,Neon Vortex Elite,1976,"Platformer, Beat 'em Up, Pinball, Light Gun Shooter",4,Bubble Hockey Table,1.75
